fips,total_deaths,covid_deaths,urban_rural_desc,pct_covid_deaths,county,state
27037,4609,374,Large fringe metro,0.081145584725537,Dakota,Minnesota
27053,23238,2683,Large central metro,0.1154574403993459,Hennepin,Minnesota
27067,803,107,Micropolitan,0.13325031133250312,Kandiyohi,Minnesota
27109,4372,352,Small metro,0.08051235132662397,Olmsted,Minnesota
27123,11599,1535,Large central metro,0.13233899474092595,Ramsey,Minnesota
27137,5895,588,Medium metro,0.09974554707379135,St. Louis,Minnesota
27139,1404,109,Large fringe metro,0.07763532763532764,Scott,Minnesota
27145,3635,495,Small metro,0.1361760660247593,Stearns,Minnesota
27163,3177,274,Large fringe metro,0.08624488511174064,Washington,Minnesota
27171,1468,131,Large fringe metro,0.08923705722070845,Wright,Minnesota
29019,4840,595,Small metro,0.12293388429752067,Boone,Missouri
29021,2507,320,Small metro,0.12764260071798963,Buchanan,Missouri
29023,1518,185,Micropolitan,0.12187088274044795,Butler,Missouri
29029,1387,206,Noncore,0.14852198990627252,Camden,Missouri
29031,3062,389,Small metro,0.12704114957544088,Cape Girardeau,Missouri
29047,5197,711,Large fringe metro,0.13680969790263614,Clay,Missouri
29051,2095,389,Small metro,0.18568019093078758,Cole,Missouri
29071,2055,232,Large fringe metro,0.11289537712895377,Franklin,Missouri
29077,10188,1623,Medium metro,0.15930506478209658,Greene,Missouri
29091,1290,168,Micropolitan,0.13023255813953488,Howell,Missouri
29095,17338,1826,Large central metro,0.10531779905410082,Jackson,Missouri
29097,1780,110,Small metro,0.06179775280898876,Jasper,Missouri
29099,3395,306,Large fringe metro,0.09013254786450663,Jefferson,Missouri
29127,866,135,Micropolitan,0.1558891454965358,Marion,Missouri
29145,3536,663,Small metro,0.1875,Newton,Missouri
29159,984,130,Micropolitan,0.13211382113821138,Pettis,Missouri
29161,1278,209,Micropolitan,0.16353677621283255,Phelps,Missouri
29165,1350,126,Large fringe metro,0.09333333333333334,Platte,Missouri
29167,808,120,Medium metro,0.1485148514851485,Polk,Missouri
29183,6544,734,Large fringe metro,0.11216381418092909,St. Charles,Missouri
29187,1598,121,Micropolitan,0.07571964956195244,St. Francois,Missouri
29189,27407,3263,Large fringe metro,0.11905717517422557,St. Louis,Missouri
29201,1021,124,Micropolitan,0.12144955925563174,Scott,Missouri
29213,1338,105,Micropolitan,0.07847533632286996,Taney,Missouri
29510,10178,907,Large central metro,0.08911377480841029,St. Louis city,Missouri
28001,819,135,Micropolitan,0.16483516483516483,Adams,Mississippi
28003,1300,197,Micropolitan,0.15153846153846154,Alcorn,Mississippi
28033,3815,709,Large fringe metro,0.1858453473132372,DeSoto,Mississippi
28035,3398,647,Small metro,0.19040612124779283,Forrest,Mississippi
28047,5510,688,Medium metro,0.12486388384754991,Harrison,Mississippi
28049,10096,1654,Medium metro,0.1638272583201268,Hinds,Mississippi
28059,3361,447,Medium metro,0.1329961321035406,Jackson,Mississippi
28067,1655,230,Micropolitan,0.13897280966767372,Jones,Mississippi
28071,1735,381,Micropolitan,0.2195965417867435,Lafayette,Mississippi
28073,1261,220,Small metro,0.17446471054718476,Lamar,Mississippi
28075,3083,667,Micropolitan,0.21634771326629906,Lauderdale,Mississippi
28081,4494,743,Micropolitan,0.16533155318202047,Lee,Mississippi
28083,1033,211,Micropolitan,0.2042594385285576,Leflore,Mississippi
28085,911,140,Micropolitan,0.15367727771679474,Lincoln,Mississippi
28087,1766,357,Micropolitan,0.20215175537938845,Lowndes,Mississippi
28089,2066,183,Medium metro,0.08857696030977735,Madison,Mississippi
28095,804,135,Noncore,0.16791044776119404,Monroe,Mississippi
28105,730,131,Micropolitan,0.17945205479452056,Oktibbeha,Mississippi
28109,1230,107,Micropolitan,0.08699186991869919,Pearl River,Mississippi
28113,1171,165,Micropolitan,0.14090520922288644,Pike,Mississippi
28121,2257,245,Medium metro,0.10855117412494461,Rankin,Mississippi
28149,1314,240,Micropolitan,0.182648401826484,Warren,Mississippi
28151,1529,228,Micropolitan,0.14911706998037932,Washington,Mississippi
30013,2556,385,Small metro,0.15062597809076683,Cascade,Montana
30029,2551,294,Micropolitan,0.11524892199137593,Flathead,Montana
30049,1456,162,Micropolitan,0.11126373626373626,Lewis and Clark,Montana
30063,2421,290,Small metro,0.1197852127220157,Missoula,Montana
30093,933,112,Micropolitan,0.12004287245444802,Silver Bow,Montana
30111,4817,843,Small metro,0.17500518995225245,Yellowstone,Montana
37001,3414,227,Small metro,0.06649091974223785,Alamance,North Carolina
37013,933,131,Micropolitan,0.14040728831725616,Beaufort,North Carolina
37019,2438,149,Medium metro,0.06111566858080394,Brunswick,North Carolina
37021,7515,786,Medium metro,0.10459081836327346,Buncombe,North Carolina
37023,1864,274,Medium metro,0.14699570815450644,Burke,North Carolina
37025,3964,567,Large fringe metro,0.14303733602421795,Cabarrus,North Carolina
37027,1681,210,Medium metro,0.12492563950029745,Caldwell,North Carolina
37035,4081,618,Medium metro,0.15143347218818917,Catawba,North Carolina
37045,2375,424,Micropolitan,0.17852631578947367,Cleveland,North Carolina
37047,1303,123,Noncore,0.09439754412893323,Columbus,North Carolina
37049,2392,248,Small metro,0.10367892976588629,Craven,North Carolina
37051,5960,648,Medium metro,0.1087248322147651,Cumberland,North Carolina
37057,3016,270,Medium metro,0.08952254641909814,Davidson,North Carolina
37061,874,109,Noncore,0.12471395881006865,Duplin,North Carolina
37063,6804,585,Medium metro,0.08597883597883597,Durham,North Carolina
37065,1070,133,Small metro,0.12429906542056075,Edgecombe,North Carolina
37067,10851,1314,Medium metro,0.12109482996958805,Forsyth,North Carolina
