state,county,fips,total_votes,Democrat,Other,Republican,Green,Libertarian,pct_dem,pct_rep,pct_other,pct_green,pct_libertarian,leading_party,poor_fair_health,adult_smoking,adult_obesity,poor_physical_health_days,poor_mental_health_days,excessive_drinking,pct_below_18,pct_above_65,pct_nonhispanic_black,pct_native_american,pct_hispanic,pct_females,pct_nonproficient_english,diabetes_prevalence,physical_inactivity,pct_pacific_islander,pct_asian,pct_nonhispanic_white,severe_housing_issues,food_insecurity,social_associations,insufficient_sleep,frequent_physical_distress,frequent_mental_distress,homeownership,urban_rural_desc,pct_covid_deaths,never,rarely,sometimes,frequently,always,pct_less_than_high_school,pct_high_school_diploma,pct_college_associates,pct_bachelors_or_higher,unemployment_rate,median_household_income,log_poverty_rating,pct_voters,log_population,log_traffic_volume
Alabama,Escambia,1053,15910,4918,123,10869,NA,NA,0.3091137649277184,0.6831552482715273,0.007730986800754243,NA,NA,Republican,0.2605489189,0.2241258458,0.394,5.2194029367,5.1854976645,0.1297516836,0.2236584304,0.1794927615,0.3140306955,0.0387231958,0.0246816153,0.4930880592,0.0048855309,0.188,0.324,6.258844e-4,0.0030477849,0.6015565473,0.1182120429,0.184,14.420380805,0.3974832963,0.1625681005,0.1634386849,0.6878909741,Noncore,0.1382857142857143,0.114,0.026,0.188,0.285,0.387,18.9,43.7,24.9,12.5,6,42712,3.843855422623161,0.4328427238349158,4.565340058301314,1.5542929265064933
Alabama,Etowah,1055,47728,11567,633,35528,NA,NA,0.2423524974857526,0.7443848474689909,0.013262655045256453,NA,NA,Republican,0.2148386406,0.201473986,0.355,4.9190216937,4.8363138983,0.1403053052,0.2146027844,0.1901152184,0.1548375138,0.0060877455,0.0401557058,0.5155852138,0.012187841,0.157,0.341,0.0031024088,0.008312114,0.7768607136,0.1122216599,0.146,15.765656172,0.4083559392,0.1487629511,0.1506259797,0.7190344792,Small metro,0.16085714285714287,0.096,0.103,0.178,0.122,0.501,15.4,32.9,33.9,17.8,7.7,43047,4.274180949419634,0.461425422483468,5.014671717484126,2.1462634432829435
Alabama,Houston,1069,46173,12917,638,32618,NA,NA,0.27975223615532885,0.7064301648149351,0.013817599029735993,NA,NA,Republican,0.2026979709,0.1924978278,0.381,4.6656889695,4.7669545639,0.1352370177,0.2303240962,0.1779855236,0.2691984492,0.005404786,0.0343862799,0.5198143657,0.0059278456,0.135,0.306,9.453601e-4,0.010599492,0.6631844312,0.1345103518,0.165,11.979376306,0.3704631196,0.1437045324,0.1519766223,0.6557715334,Small metro,0.19423472889498972,0.085,0.079,0.135,0.268,0.433,14,31.2,33.1,21.7,5.4,50138,4.305501841464033,0.4307102479431354,5.03020288779016,2.145995559939236
Alabama,Jackson,1071,23636,3717,249,19670,NA,NA,0.15726011169402607,0.8322051108478592,0.010534777458114741,NA,NA,Republican,0.2324476181,0.1995892088,0.387,5.0329273964,5.0659560823,0.1349201628,0.2088680996,0.2004986856,0.0341348384,0.0168161435,0.0295345601,0.5092392145,0.0044421006,0.165,0.291,0.0011017473,0.0058566569,0.8906757384,0.1080471296,0.136,9.054306575,0.3804265797,0.1530583041,0.1580285361,0.7409095317,Micropolitan,0.09199700822737472,0.092,0.089,0.11,0.249,0.46,16.8,41,28.2,14,5.3,44322,3.873959654743353,0.4495330835504669,4.720812322002147,1.4758636400971943
Alabama,Jefferson,1073,325848,181688,5317,138843,NA,NA,0.5575851317178562,0.426097444207115,0.016317424075028848,NA,NA,Democrat,0.1969630214,0.1762204526,0.346,4.4108897663,4.7365444738,0.1468864353,0.22762172,0.1585727287,0.4312604277,0.0028697103,0.0398088882,0.5273911725,0.0122960047,0.129,0.301,5.703018e-4,0.0177096921,0.4969983316,0.1676248687,0.178,14.441813297,0.3634513264,0.1371110804,0.1456821527,0.6279912925,Large central metro,0.13683879940777963,0.049,0.037,0.107,0.179,0.628,9.9,26.4,30.3,33.4,6.2,54127,5.01823433878505,0.48293739189976304,5.829124227336546,2.6222884860832436
Alabama,Lauderdale,1077,44339,11915,703,31721,NA,NA,0.26872505018155574,0.7154198335551095,0.015855116263334763,NA,NA,Republican,0.2012583341,0.166560043,0.325,4.6686419817000004,4.7585484725,0.1374675543,0.196651044,0.2009265373,0.0989316679,0.004513622,0.0286187451,0.5202030589,0.0057371171,0.138,0.285,5.628498e-4,0.0076634158,0.8460497689,0.1259124088,0.14,14.804728868,0.3505816101,0.1409689061,0.1457050903,0.6848418757,Small metro,0.12504091653027824,0.093,0.119,0.141,0.179,0.469,12.6,36,27.9,23.5,5.5,48188,4.152074202768228,0.4738895301611731,4.9711087802683,2.035267187888406
Alabama,Lee,1081,71449,27860,1368,42221,NA,NA,0.38992848045459,0.590924995451301,0.019146524094109083,NA,NA,Republican,0.2146390783,0.1756014041,0.299,4.4909276572,4.6345119933,0.1574760323,0.2128387652,0.1188293349,0.2277709664,0.0037269505,0.0375988923,0.5081218243,0.0117379351,0.09,0.213,9.027638e-4,0.0419419181,0.6747610421,0.1923143351,0.17,8.0443553377,0.365670481,0.1382912449,0.1472367357,0.603321375,Small metro,0.1618134906008109,0.053,0.064,0.138,0.183,0.562,9.1,23.7,31.8,35.3,5.2,54160,4.393241677449102,0.410058482217159,5.2411503549119045,2.079305283321275
Alabama,Limestone,1083,49235,13672,923,34640,NA,NA,0.27768863613283234,0.7035645374225652,0.01874682644460242,NA,NA,Republican,0.2011404561,0.1817335659,0.339,4.5193296824999996,4.7587559265,0.1496338315,0.2255911161,0.1518913636,0.1349325181,0.0082662674,0.0614511198,0.4992825504,0.0095298819,0.138,0.293,0.0019235968,0.0159606546,0.7611412648,0.1130163679,0.122,9.1099764835,0.3739478359,0.135740957,0.1411353788,0.7801780489,Medium metro,0.09816303099885189,0.102,0.034,0.133,0.336,0.395,15.3,30.4,28.6,25.7,4.3,64729,4.062017598857112,0.47537897074442403,5.015233976246709,1.6927068544207184
Alabama,Madison,1089,194767,87286,4701,102780,NA,NA,0.4481560017867503,0.5277074658438031,0.02413653236944657,NA,NA,Republican,0.1925782533,0.168201727,0.329,4.3656225035,4.6548938057000004,0.1558025881,0.2181769567,0.1504014799,0.2443693233,0.0080978067,0.050687686,0.511419599,0.0111745451,0.135,0.22,0.0011513728,0.0267789664,0.6459583269,0.1194355127,0.138,10.801947674000001,0.3615362162,0.1305633916,0.1387830515,0.6722613868,Medium metro,0.11369651521835024,0.062,0.05,0.123,0.177,0.589,8.3,20.6,28.3,42.8,4.6,68609,4.621061978712945,0.501778937686943,5.589002947135815,2.298903700847212
Alabama,Marshall,1095,39655,5943,521,33191,NA,NA,0.1498676081200353,0.8369940738872778,0.013138317992686924,NA,NA,Republican,0.2239465306,0.2101785348,0.344,4.9652343056,5.0519317823,0.1419656084,0.2490505572,0.170379465,0.02403521,0.0112164313,0.1432540137,0.5057486812,0.0400523649,0.118,0.362,0.0027156666,0.0073354212,0.8043679572,0.1392919327,0.122,10.256624942,0.3571209728,0.1535998147,0.1581151737,0.7036623109,Micropolitan,0.11836115326251896,0.075,0.064,0.129,0.253,0.479,18.4,31.1,31.1,19.4,4.2,48913,4.175772659601535,0.4062512805802565,4.9895032112468956,1.8106015864475158
