Method,Test Misclassification Errors
Logistic,0.13286713286713286
Ridge,0.1258741258741259
Lasso,0.13286713286713286
Decision Tree,0.9825174825174825
Random Forest,0.1048951048951049
Boosting,0.13286713286713286
