var	rel.inf
log_traffic_volume	19.15848181748214
log_poverty_rating	9.238215582040645
severe_housing_issues	8.734635132802824
pct_bachelors_or_higher	8.67683562665815
pct_asian	5.954310772819109
always	5.127045018009505
homeownership	4.7992150145279275
never	3.8263690439720905
pct_nonhispanic_white	3.327809169890409
physical_inactivity	2.839665041733561
